transaction_id,customer_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,days_to_burn,join_date,city_id,gender_id,city_name,gender_name,merchant_id,merchant_name
29,903,2023-05-25,burned,wZK-361,2023-08-13,7,80.0,2023-05-14,6,2,Suez,Female,7,Berry-Anderson
30,332,2024-04-17,burned,bOY-741,2024-05-21,1,34.0,2022-06-24,15,2,Aswan,Female,11,"Smith, Lawson and Hernandez"
31,817,2024-01-02,subscribed,Kwq-822,,9,,2023-11-20,6,2,Suez,Female,13,Thomas-Nelson
32,862,2024-04-08,subscribed,dgd-661,,7,,2024-03-15,9,1,Tanta,Male,7,Berry-Anderson
33,725,2023-11-19,burned,BEl-708,2024-02-01,10,74.0,2021-11-18,16,2,Minya,Female,13,Thomas-Nelson
34,159,2024-06-30,burned,euf-093,2024-09-27,9,89.0,2024-06-13,9,1,Tanta,Male,13,Thomas-Nelson
35,954,2023-06-29,burned,Vsr-193,2023-08-28,7,60.0,2022-09-27,15,2,Aswan,Female,7,Berry-Anderson
36,957,2024-01-18,burned,GaD-873,2024-03-26,2,68.0,2022-05-27,12,2,Fayyum,Female,18,Lewis LLC
37,24,2023-03-27,subscribed,WxX-376,,6,,2022-12-23,15,1,Aswan,Male,15,Butler-Gomez
38,404,2024-03-14,burned,NFV-018,2024-05-04,10,51.0,2021-09-30,1,2,Cairo,Female,13,Thomas-Nelson
39,805,2023-05-24,burned,IzM-752,2023-06-14,4,21.0,2022-09-25,6,1,Suez,Male,15,Butler-Gomez
40,516,2023-12-17,burned,eHG-441,2024-02-14,3,59.0,2023-06-08,5,2,Port Said,Female,8,Medina-Foster
41,732,2023-04-11,subscribed,Bco-787,,2,,2023-03-07,20,1,Sohag,Male,18,Lewis LLC
42,364,2024-01-01,subscribed,ZSu-510,,6,,2023-07-12,5,1,Port Said,Male,15,Butler-Gomez
43,382,2024-04-09,burned,PIN-842,2024-06-21,8,73.0,2024-03-12,5,1,Port Said,Male,20,Griffin-Leblanc
44,532,2022-04-08,burned,vhH-792,2022-04-28,6,20.0,2022-04-04,12,1,Fayyum,Male,15,Butler-Gomez
45,956,2022-10-24,burned,JYu-214,2022-12-15,9,52.0,2022-01-01,11,2,Ismailia,Female,13,Thomas-Nelson
46,152,2024-04-11,burned,WFi-909,2024-05-23,5,42.0,2024-01-15,9,1,Tanta,Male,9,"Campbell, Shaffer and Martinez"
47,562,2024-06-27,burned,MFQ-865,2024-06-28,2,1.0,2024-06-20,20,2,Sohag,Female,18,Lewis LLC
48,689,2023-11-10,subscribed,iGB-868,,8,,2022-05-07,13,1,Zagazig,Male,20,Griffin-Leblanc
49,947,2023-08-08,subscribed,ZoR-407,,9,,2022-04-14,20,1,Sohag,Male,13,Thomas-Nelson
50,608,2023-12-10,subscribed,wLJ-361,,10,,2023-11-29,15,1,Aswan,Male,13,Thomas-Nelson
51,617,2024-06-02,burned,vwe-146,2024-07-12,4,40.0,2022-02-05,1,2,Cairo,Female,15,Butler-Gomez
52,420,2024-07-02,subscribed,dgo-134,,6,,2022-09-24,5,2,Port Said,Female,15,Butler-Gomez
53,250,2024-04-27,subscribed,vIP-097,,10,,2024-04-14,18,1,Beni Suef,Male,13,Thomas-Nelson
54,117,2024-04-01,subscribed,ClE-151,,8,,2023-06-25,15,1,Aswan,Male,20,Griffin-Leblanc
55,866,2023-08-03,burned,Xly-514,2023-09-06,9,34.0,2023-06-15,3,2,Giza,Female,13,Thomas-Nelson
56,512,2022-12-27,burned,MRH-291,2023-02-26,5,61.0,2022-06-24,10,2,Asyut,Female,9,"Campbell, Shaffer and Martinez"
57,740,2023-03-18,subscribed,TJX-667,,6,,2022-08-01,19,2,Qena,Female,15,Butler-Gomez
58,578,2024-06-29,burned,DhQ-265,2024-08-12,4,44.0,2024-06-07,12,2,Fayyum,Female,15,Butler-Gomez
59,335,2024-07-02,subscribed,osI-244,,5,,2024-06-25,19,2,Qena,Female,9,"Campbell, Shaffer and Martinez"
60,418,2023-10-22,subscribed,Tlr-725,,7,,2022-06-08,19,1,Qena,Male,7,Berry-Anderson
61,932,2024-07-14,subscribed,UFN-187,,9,,2024-07-13,20,1,Sohag,Male,13,Thomas-Nelson
62,774,2024-07-12,subscribed,nje-697,,10,,2023-01-22,8,1,El-Mahalla El-Kubra,Male,13,Thomas-Nelson
63,295,2023-05-22,burned,Ndo-242,2023-06-11,6,20.0,2022-07-28,3,2,Giza,Female,15,Butler-Gomez
64,938,2024-03-08,burned,Slo-500,2024-05-24,6,77.0,2022-10-17,12,2,Fayyum,Female,15,Butler-Gomez
65,755,2022-01-21,burned,lRV-701,2022-04-15,8,84.0,2021-07-29,7,1,Mansoura,Male,20,Griffin-Leblanc
66,371,2022-12-26,burned,IHw-757,2023-01-27,4,32.0,2022-02-11,16,1,Minya,Male,15,Butler-Gomez
67,186,2023-10-13,subscribed,NcA-910,,3,,2023-03-08,5,2,Port Said,Female,8,Medina-Foster
68,246,2021-08-05,burned,UzK-359,2021-08-14,7,9.0,2021-07-30,16,2,Minya,Female,7,Berry-Anderson
69,637,2024-02-05,subscribed,Sqn-557,,5,,2023-12-22,13,1,Zagazig,Male,9,"Campbell, Shaffer and Martinez"
70,268,2024-01-12,burned,yfa-738,2024-03-27,2,75.0,2024-01-10,12,1,Fayyum,Male,18,Lewis LLC
71,643,2024-04-09,burned,onf-960,2024-05-06,2,27.0,2022-12-31,8,2,El-Mahalla El-Kubra,Female,18,Lewis LLC
72,237,2023-12-27,burned,fQD-442,2024-03-19,6,83.0,2023-09-15,20,1,Sohag,Male,15,Butler-Gomez
73,530,2022-05-30,subscribed,qXv-926,,8,,2021-11-21,6,1,Suez,Male,20,Griffin-Leblanc
74,552,2022-02-07,subscribed,ZjX-048,,1,,2021-11-29,12,1,Fayyum,Male,11,"Smith, Lawson and Hernandez"
75,21,2022-11-08,subscribed,Sze-633,,6,,2021-11-28,10,1,Asyut,Male,15,Butler-Gomez
76,911,2022-11-04,subscribed,etj-292,,2,,2022-10-18,15,1,Aswan,Male,18,Lewis LLC
77,737,2024-04-09,burned,SWc-151,2024-05-02,2,23.0,2024-03-16,2,2,Alexandria,Female,18,Lewis LLC
78,867,2024-02-21,subscribed,HzW-158,,7,,2023-11-03,1,1,Cairo,Male,7,Berry-Anderson
79,794,2024-05-29,subscribed,FSg-805,,10,,2022-09-11,3,1,Giza,Male,13,Thomas-Nelson
80,520,2024-03-02,burned,iGI-955,2024-04-01,1,30.0,2022-01-13,8,1,El-Mahalla El-Kubra,Male,11,"Smith, Lawson and Hernandez"
81,100,2024-05-17,burned,Mee-574,2024-05-24,6,7.0,2022-11-09,5,2,Port Said,Female,15,Butler-Gomez
82,752,2023-10-28,subscribed,PQk-148,,7,,2023-07-03,15,1,Aswan,Male,7,Berry-Anderson
83,478,2024-06-17,burned,DCw-805,2024-09-02,8,77.0,2024-03-30,9,1,Tanta,Male,20,Griffin-Leblanc
84,599,2024-01-19,subscribed,Qcn-334,,7,,2023-12-19,15,1,Aswan,Male,7,Berry-Anderson
85,298,2024-06-28,burned,QcY-014,2024-09-21,6,85.0,2022-11-25,1,2,Cairo,Female,15,Butler-Gomez
86,940,2023-09-19,subscribed,ieK-676,,9,,2022-07-18,2,1,Alexandria,Male,13,Thomas-Nelson
87,526,2022-10-14,subscribed,pVZ-132,,3,,2022-04-08,7,1,Mansoura,Male,8,Medina-Foster
88,334,2023-07-29,subscribed,jgV-032,,6,,2022-08-14,2,2,Alexandria,Female,15,Butler-Gomez
89,2,2023-10-21,subscribed,SSV-196,,4,,2023-05-02,20,2,Sohag,Female,15,Butler-Gomez
90,375,2023-10-09,subscribed,ebq-604,,2,,2023-01-25,16,2,Minya,Female,18,Lewis LLC
91,293,2023-12-07,burned,VcH-586,2023-12-15,1,8.0,2023-08-08,17,2,Damanhur,Female,11,"Smith, Lawson and Hernandez"
92,837,2024-01-02,subscribed,uLw-244,,1,,2023-01-09,18,1,Beni Suef,Male,11,"Smith, Lawson and Hernandez"
93,934,2023-09-11,subscribed,GsC-853,,10,,2023-03-27,8,2,El-Mahalla El-Kubra,Female,13,Thomas-Nelson
94,553,2023-12-28,subscribed,Xkn-767,,3,,2023-05-22,13,1,Zagazig,Male,8,Medina-Foster
95,318,2024-02-19,subscribed,EDJ-607,,4,,2022-02-23,3,1,Giza,Male,15,Butler-Gomez
96,502,2024-06-19,subscribed,gYY-767,,2,,2023-02-11,12,2,Fayyum,Female,18,Lewis LLC
97,828,2024-07-06,burned,ltm-117,2024-07-08,1,2.0,2024-01-12,6,1,Suez,Male,11,"Smith, Lawson and Hernandez"
98,381,2024-06-16,burned,grw-395,2024-07-26,4,40.0,2022-06-03,19,2,Qena,Female,15,Butler-Gomez
99,623,2023-11-13,subscribed,IyK-190,,7,,2023-06-12,6,1,Suez,Male,7,Berry-Anderson
100,14,2022-06-29,burned,lWH-583,2022-07-21,10,22.0,2022-01-08,12,2,Fayyum,Female,13,Thomas-Nelson
101,504,2024-02-03,subscribed,NWX-323,,6,,2022-03-12,10,2,Asyut,Female,15,Butler-Gomez
102,231,2024-06-14,burned,cgq-338,2024-07-03,6,19.0,2024-02-27,19,1,Qena,Male,15,Butler-Gomez
103,985,2024-07-02,burned,GUf-745,2024-07-02,9,0.0,2024-03-31,4,2,Shubra El-Kheima,Female,13,Thomas-Nelson
104,84,2024-01-28,subscribed,RXN-168,,2,,2022-05-28,17,1,Damanhur,Male,18,Lewis LLC
105,130,2022-09-16,burned,tXB-076,2022-10-02,4,16.0,2022-04-18,4,2,Shubra El-Kheima,Female,15,Butler-Gomez
106,743,2024-04-08,burned,AjR-114,2024-04-09,5,1.0,2022-06-05,15,2,Aswan,Female,9,"Campbell, Shaffer and Martinez"
107,838,2024-06-13,subscribed,yEX-937,,1,,2022-03-26,10,1,Asyut,Male,11,"Smith, Lawson and Hernandez"
108,145,2023-02-21,subscribed,XKP-426,,8,,2021-11-01,20,2,Sohag,Female,20,Griffin-Leblanc
109,891,2023-08-15,burned,CvT-511,2023-09-15,8,31.0,2022-03-11,15,2,Aswan,Female,20,Griffin-Leblanc
110,857,2024-03-21,burned,PJQ-238,2024-03-23,6,2.0,2024-03-16,5,2,Port Said,Female,15,Butler-Gomez
111,28,2023-10-08,burned,QlC-155,2023-10-31,5,23.0,2022-04-30,3,2,Giza,Female,9,"Campbell, Shaffer and Martinez"
112,66,2024-03-28,subscribed,KLh-074,,8,,2024-03-28,14,2,Damietta,Female,20,Griffin-Leblanc
113,163,2024-07-04,burned,bpd-636,2024-08-02,3,29.0,2024-02-19,20,1,Sohag,Male,8,Medina-Foster
114,229,2023-06-26,burned,Lkb-392,2023-08-13,3,48.0,2023-02-19,9,2,Tanta,Female,8,Medina-Foster
115,261,2023-04-01,burned,rwU-084,2023-06-11,2,71.0,2022-10-09,20,2,Sohag,Female,18,Lewis LLC
116,449,2024-07-06,subscribed,jsw-309,,5,,2024-06-28,10,1,Asyut,Male,9,"Campbell, Shaffer and Martinez"
117,424,2023-05-25,subscribed,Bij-994,,3,,2022-10-08,1,2,Cairo,Female,8,Medina-Foster
118,460,2024-07-14,subscribed,yxj-830,,3,,2023-11-01,5,2,Port Said,Female,8,Medina-Foster
119,952,2024-05-05,subscribed,Kob-565,,6,,2023-10-25,6,1,Suez,Male,15,Butler-Gomez
120,676,2024-06-20,burned,JmS-084,2024-08-25,8,66.0,2021-09-04,19,1,Qena,Male,20,Griffin-Leblanc
121,301,2023-02-14,subscribed,OHA-918,,2,,2022-12-03,10,2,Asyut,Female,18,Lewis LLC
122,919,2024-04-19,burned,nwy-642,2024-05-17,4,28.0,2023-07-03,5,1,Port Said,Male,15,Butler-Gomez
123,303,2023-07-14,burned,luD-902,2023-08-26,7,43.0,2023-05-05,8,1,El-Mahalla El-Kubra,Male,7,Berry-Anderson
124,287,2022-10-23,burned,Rkr-967,2022-11-04,1,12.0,2022-03-11,12,1,Fayyum,Male,11,"Smith, Lawson and Hernandez"
125,395,2024-05-14,burned,rgi-716,2024-06-11,1,28.0,2023-03-11,1,1,Cairo,Male,11,"Smith, Lawson and Hernandez"
126,10,2024-06-26,subscribed,zEe-332,,10,,2023-08-19,4,2,Shubra El-Kheima,Female,13,Thomas-Nelson
127,707,2024-03-15,subscribed,wiu-172,,7,,2022-03-04,19,1,Qena,Male,7,Berry-Anderson
128,630,2023-10-29,subscribed,mXs-930,,7,,2022-03-08,17,2,Damanhur,Female,7,Berry-Anderson
129,270,2023-06-27,subscribed,RNS-746,,1,,2022-05-22,14,2,Damietta,Female,11,"Smith, Lawson and Hernandez"
130,592,2024-06-12,subscribed,YSy-589,,1,,2024-01-24,13,2,Zagazig,Female,11,"Smith, Lawson and Hernandez"
131,970,2023-03-23,burned,zRz-179,2023-04-01,4,9.0,2022-03-24,5,2,Port Said,Female,15,Butler-Gomez
132,605,2024-07-10,subscribed,lKC-819,,5,,2024-05-26,1,2,Cairo,Female,9,"Campbell, Shaffer and Martinez"
133,778,2023-09-02,subscribed,FnZ-205,,5,,2022-06-28,10,2,Asyut,Female,9,"Campbell, Shaffer and Martinez"
134,844,2022-05-11,subscribed,KeN-236,,4,,2022-04-07,8,2,El-Mahalla El-Kubra,Female,15,Butler-Gomez
135,862,2024-06-17,subscribed,Zkj-646,,8,,2024-03-15,9,1,Tanta,Male,20,Griffin-Leblanc
136,361,2024-06-22,burned,sZE-347,2024-09-01,7,71.0,2024-04-02,19,2,Qena,Female,7,Berry-Anderson
137,257,2023-11-06,burned,gyZ-102,2023-11-09,9,3.0,2022-04-30,4,1,Shubra El-Kheima,Male,13,Thomas-Nelson
138,133,2023-09-19,burned,WzK-249,2023-09-28,7,9.0,2023-05-25,19,2,Qena,Female,7,Berry-Anderson
139,276,2022-08-03,burned,NbG-567,2022-09-02,10,30.0,2022-05-25,2,2,Alexandria,Female,13,Thomas-Nelson
140,776,2024-01-01,burned,XOO-964,2024-01-11,1,10.0,2022-01-08,12,1,Fayyum,Male,11,"Smith, Lawson and Hernandez"
141,683,2024-07-04,subscribed,UKO-656,,7,,2024-01-02,17,2,Damanhur,Female,7,Berry-Anderson
142,972,2023-08-01,burned,Bgo-468,2023-08-31,1,30.0,2022-01-31,8,2,El-Mahalla El-Kubra,Female,11,"Smith, Lawson and Hernandez"
143,513,2024-01-14,burned,tul-199,2024-04-07,7,84.0,2023-07-19,9,1,Tanta,Male,7,Berry-Anderson
144,313,2024-07-09,burned,cpA-630,2024-09-21,10,74.0,2024-06-12,9,1,Tanta,Male,13,Thomas-Nelson
145,576,2023-09-13,subscribed,LEc-178,,8,,2022-06-24,8,1,El-Mahalla El-Kubra,Male,20,Griffin-Leblanc
146,886,2022-11-06,subscribed,caF-606,,9,,2021-12-12,8,2,El-Mahalla El-Kubra,Female,13,Thomas-Nelson
147,980,2024-07-03,burned,vmy-326,2024-09-11,3,70.0,2024-05-13,11,1,Ismailia,Male,8,Medina-Foster
148,284,2024-01-17,subscribed,sPm-260,,4,,2023-07-23,3,1,Giza,Male,15,Butler-Gomez
149,121,2023-08-31,subscribed,IAZ-369,,4,,2022-01-28,7,2,Mansoura,Female,15,Butler-Gomez
150,107,2023-06-16,burned,tFZ-847,2023-09-13,9,89.0,2021-07-21,5,1,Port Said,Male,13,Thomas-Nelson
151,933,2024-07-14,subscribed,xmE-712,,7,,2024-07-10,15,2,Aswan,Female,7,Berry-Anderson
152,687,2024-06-23,subscribed,TVT-879,,3,,2022-06-28,6,1,Suez,Male,8,Medina-Foster
153,997,2024-01-23,subscribed,HKV-668,,10,,2022-07-07,20,2,Sohag,Female,13,Thomas-Nelson
154,204,2023-10-31,burned,sPj-569,2023-11-18,5,18.0,2023-08-12,7,1,Mansoura,Male,9,"Campbell, Shaffer and Martinez"
155,165,2024-05-09,burned,iYm-076,2024-07-13,7,65.0,2021-12-12,7,1,Mansoura,Male,7,Berry-Anderson
156,305,2024-01-26,burned,HLz-216,2024-03-25,8,59.0,2022-04-09,18,1,Beni Suef,Male,20,Griffin-Leblanc
157,497,2024-07-04,subscribed,SCt-697,,1,,2024-06-24,3,1,Giza,Male,11,"Smith, Lawson and Hernandez"
158,632,2024-01-29,burned,frL-042,2024-03-01,2,32.0,2023-10-27,9,2,Tanta,Female,18,Lewis LLC
159,556,2024-05-04,subscribed,BzI-051,,7,,2022-08-18,16,2,Minya,Female,7,Berry-Anderson
160,824,2023-11-11,subscribed,YbI-850,,2,,2023-06-20,12,2,Fayyum,Female,18,Lewis LLC
161,156,2024-06-11,subscribed,IQn-470,,7,,2024-05-22,10,2,Asyut,Female,7,Berry-Anderson
162,367,2024-02-06,burned,fIR-045,2024-03-16,9,39.0,2024-01-17,1,2,Cairo,Female,13,Thomas-Nelson
163,719,2023-07-06,burned,vdB-572,2023-07-07,2,1.0,2022-12-23,14,2,Damietta,Female,18,Lewis LLC
164,902,2024-05-01,burned,caz-493,2024-06-07,7,37.0,2023-01-29,19,1,Qena,Male,7,Berry-Anderson
165,620,2023-07-18,burned,Ece-383,2023-09-14,4,58.0,2023-01-22,17,1,Damanhur,Male,15,Butler-Gomez
166,251,2024-03-27,subscribed,IDn-508,,2,,2023-03-23,2,1,Alexandria,Male,18,Lewis LLC
167,957,2023-10-17,burned,nxF-161,2024-01-10,7,85.0,2022-05-27,12,2,Fayyum,Female,7,Berry-Anderson
168,916,2024-03-30,subscribed,bFn-385,,5,,2023-03-27,4,2,Shubra El-Kheima,Female,9,"Campbell, Shaffer and Martinez"
169,882,2024-04-09,burned,oUu-634,2024-06-20,1,72.0,2024-03-19,18,2,Beni Suef,Female,11,"Smith, Lawson and Hernandez"
170,334,2023-12-22,burned,uTo-214,2024-02-06,5,46.0,2022-08-14,2,2,Alexandria,Female,9,"Campbell, Shaffer and Martinez"
171,642,2024-01-15,burned,igA-192,2024-01-26,3,11.0,2023-12-11,2,2,Alexandria,Female,8,Medina-Foster
172,969,2024-04-19,subscribed,wyj-831,,7,,2023-07-05,4,1,Shubra El-Kheima,Male,7,Berry-Anderson
173,511,2023-03-21,subscribed,HvE-675,,6,,2023-01-07,8,2,El-Mahalla El-Kubra,Female,15,Butler-Gomez
174,293,2023-11-03,subscribed,MYX-030,,8,,2023-08-08,17,2,Damanhur,Female,20,Griffin-Leblanc
175,20,2023-11-12,subscribed,jwa-955,,5,,2023-07-19,17,2,Damanhur,Female,9,"Campbell, Shaffer and Martinez"
176,282,2023-11-24,subscribed,Hpy-280,,2,,2023-08-03,19,1,Qena,Male,18,Lewis LLC
177,797,2023-04-11,burned,dox-623,2023-05-02,9,21.0,2022-07-21,5,1,Port Said,Male,13,Thomas-Nelson
178,1,2022-07-30,subscribed,SrP-866,,8,,2022-01-08,7,1,Mansoura,Male,20,Griffin-Leblanc
179,119,2023-04-19,subscribed,RMr-742,,6,,2022-05-21,13,1,Zagazig,Male,15,Butler-Gomez
180,35,2024-06-24,subscribed,Bie-681,,10,,2024-06-24,4,1,Shubra El-Kheima,Male,13,Thomas-Nelson
181,198,2022-12-01,subscribed,NlH-287,,7,,2022-11-23,20,1,Sohag,Male,7,Berry-Anderson
182,485,2024-06-22,burned,WxK-972,2024-08-24,9,63.0,2024-06-14,5,2,Port Said,Female,13,Thomas-Nelson
183,757,2024-01-31,subscribed,uZc-965,,7,,2023-10-12,7,2,Mansoura,Female,7,Berry-Anderson
184,59,2024-04-18,burned,QCM-296,2024-07-03,3,76.0,2024-04-16,2,1,Alexandria,Male,8,Medina-Foster
185,837,2023-08-25,burned,sWL-756,2023-11-16,6,83.0,2023-01-09,18,1,Beni Suef,Male,15,Butler-Gomez
186,161,2023-07-19,burned,FRH-291,2023-08-09,7,21.0,2023-02-23,17,1,Damanhur,Male,7,Berry-Anderson
187,691,2024-06-30,subscribed,Fer-516,,2,,2024-03-19,11,1,Ismailia,Male,18,Lewis LLC
188,206,2022-12-01,burned,qDx-541,2022-12-24,3,23.0,2021-08-13,9,1,Tanta,Male,8,Medina-Foster
189,12,2024-05-27,subscribed,dwQ-592,,4,,2023-03-03,3,1,Giza,Male,15,Butler-Gomez
190,490,2023-07-09,subscribed,ToY-941,,10,,2022-02-09,16,2,Minya,Female,13,Thomas-Nelson
191,276,2024-05-21,subscribed,IbV-498,,6,,2022-05-25,2,2,Alexandria,Female,15,Butler-Gomez
192,693,2024-02-05,subscribed,WBg-772,,1,,2024-01-08,11,2,Ismailia,Female,11,"Smith, Lawson and Hernandez"
193,242,2023-03-14,subscribed,OUn-629,,9,,2021-07-22,6,1,Suez,Male,13,Thomas-Nelson
194,216,2022-09-18,burned,wKW-498,2022-10-19,5,31.0,2022-02-07,3,1,Giza,Male,9,"Campbell, Shaffer and Martinez"
195,251,2023-09-03,burned,Zxb-691,2023-10-09,7,36.0,2023-03-23,2,1,Alexandria,Male,7,Berry-Anderson
196,811,2023-03-21,subscribed,XdR-711,,9,,2023-03-21,11,2,Ismailia,Female,13,Thomas-Nelson
197,126,2024-07-07,burned,FwO-903,2024-09-04,9,59.0,2024-06-28,7,2,Mansoura,Female,13,Thomas-Nelson
198,994,2024-01-31,subscribed,xhC-834,,1,,2023-02-18,20,2,Sohag,Female,11,"Smith, Lawson and Hernandez"
199,217,2024-03-23,burned,oVV-952,2024-05-29,1,67.0,2024-03-13,7,2,Mansoura,Female,11,"Smith, Lawson and Hernandez"
200,306,2023-10-08,burned,GTs-870,2023-11-26,3,49.0,2023-08-05,15,1,Aswan,Male,8,Medina-Foster
201,797,2023-01-31,burned,zpj-152,2023-04-11,6,70.0,2022-07-21,5,1,Port Said,Male,15,Butler-Gomez
202,185,2023-05-15,burned,edX-908,2023-07-17,2,63.0,2023-04-30,6,2,Suez,Female,18,Lewis LLC
203,39,2024-04-16,burned,ttE-641,2024-07-03,10,78.0,2024-02-27,2,2,Alexandria,Female,13,Thomas-Nelson
204,223,2024-06-07,subscribed,eDG-220,,1,,2024-05-30,1,2,Cairo,Female,11,"Smith, Lawson and Hernandez"
205,184,2022-07-16,subscribed,nfu-112,,1,,2022-07-14,17,2,Damanhur,Female,11,"Smith, Lawson and Hernandez"
206,495,2023-07-07,burned,aDo-382,2023-08-07,5,31.0,2022-02-26,14,1,Damietta,Male,9,"Campbell, Shaffer and Martinez"
207,427,2023-02-26,subscribed,tIx-993,,4,,2022-12-24,11,2,Ismailia,Female,15,Butler-Gomez
208,178,2024-01-22,burned,YNH-635,2024-02-13,1,22.0,2023-06-27,19,2,Qena,Female,11,"Smith, Lawson and Hernandez"
209,919,2023-07-25,subscribed,Blg-841,,4,,2023-07-03,5,1,Port Said,Male,15,Butler-Gomez
210,428,2023-04-23,burned,aGD-731,2023-07-12,3,80.0,2023-03-17,12,1,Fayyum,Male,8,Medina-Foster
211,294,2024-04-18,burned,FeZ-218,2024-05-30,2,42.0,2023-01-11,14,1,Damietta,Male,18,Lewis LLC
212,852,2023-01-04,burned,xKS-228,2023-01-26,9,22.0,2022-09-22,11,2,Ismailia,Female,13,Thomas-Nelson
213,151,2024-06-13,subscribed,HKM-834,,1,,2022-12-11,8,2,El-Mahalla El-Kubra,Female,11,"Smith, Lawson and Hernandez"
214,384,2023-02-12,subscribed,uLY-609,,7,,2021-10-02,5,2,Port Said,Female,7,Berry-Anderson
215,638,2024-06-29,burned,sMW-948,2024-08-22,4,54.0,2023-02-08,4,2,Shubra El-Kheima,Female,15,Butler-Gomez
216,813,2024-06-23,burned,qvt-979,2024-09-12,5,81.0,2024-06-06,19,1,Qena,Male,9,"Campbell, Shaffer and Martinez"
217,308,2024-06-24,subscribed,SXh-036,,10,,2024-02-04,10,2,Asyut,Female,13,Thomas-Nelson
218,336,2024-07-14,subscribed,hXh-248,,5,,2024-07-09,17,1,Damanhur,Male,9,"Campbell, Shaffer and Martinez"
219,946,2023-04-17,subscribed,nyt-176,,1,,2022-08-08,5,1,Port Said,Male,11,"Smith, Lawson and Hernandez"
220,746,2024-02-27,subscribed,Ger-459,,6,,2022-11-09,15,1,Aswan,Male,15,Butler-Gomez
221,892,2023-10-11,subscribed,lVV-698,,9,,2023-06-01,1,2,Cairo,Female,13,Thomas-Nelson
